category,Deal_of_day,best_seller,title,description,price,original-price,review,No_of_review,id,sponsered,prime_tag,start_url
bottle,,,,"Gift & Gallary | Customized Water Bottle with Temperature Display Keep Hot Or Cold (Matte Black,18 oz)",679,"2,199",4.6 out of 5 stars,35,B09K7Q5CHR,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"PANCA Stainless Steel Insulated Sipper Water Bottle/Flask for Gym, School Water Bottle 1 L, Sipper Cap, Sipper bottle for Gym (Set of 1), Black (Style 1)",399,799,3.7 out of 5 stars,29,B09N9DPFLL,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"Milton Thermosteel Flip Lid Flask, 1000 milliliters, Silver",964,"1,205",4.3 out of 5 stars,"79,200",B00MIYM0VS,False,Amazon Prime,https://www.amazon.in/s?k=bottle
bottle,,,,"Dhwani Enterprise H2O Premium Edition Glass Bottle, 1 Litre (PACK OF 3)",649,749,3.8 out of 5 stars,15,B09V7YFGQF,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"HOKISTA Stainless Steel Fridge Water Bottle for Gym, Yoga, College, Office 1 Liter Leak Proof Sipper Bottle (Pack of 1, Assorted)",399,899,"Get it by Sunday, May 22",,B09Z8D4KS7,False,,https://www.amazon.in/s?k=bottle
bottle,,,,Stainless Steel BPA-Free Leak Proof Double Walled Vacuum Insulated Cold and Warm Water Bottle with LED Temperature Display -Multicolour,318,999,3.4 out of 5 stars,126,B08WQ7QMNM,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"Cello H2O Plastic Unbreakable Bottle, 1 L, Set of 6, Colour may vary",703,"1,008",4.4 out of 5 stars,"9,090",B01AEMWVYQ,False,Amazon Prime,https://www.amazon.in/s?k=bottle
bottle,,,,"KC Pure Copper Designer Water Bottle with Advanced Leak Proof Protection and Joint Less, Ayurveda and Yoga Health Benefits with Lacquer Coating (1000 Milliliters, 1 Unit)",549,999,3.9 out of 5 stars,332,B098BRFG29,False,Amazon Prime,https://www.amazon.in/s?k=bottle
bottle,,,,"PAYABLE 1000ml Square Shape Plastic Water Bottle With Square Cap | Pack Of 3 Square Shape Water Bottle For Gym, School, Office | Multicolor Water Bottle For Home",299,499,4.5 out of 5 stars,2,B09YTLWVCK,False,,https://www.amazon.in/s?k=bottle
bottle,,,,JM SELLER Plastic Water Bottle for Fridge Checkered Leak-Proof Water Bottles - 1 Litre randomy Any Colors Will Come (Set of 2),369,499,5.0 out of 5 stars,2,B092VW3HWH,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"SOLARA Unbreakable Water Bottle with Motivational Time Marker, Sipper Bottle with straw, Water bottle for Gym Office| Mobile app with Drinking water reminder",849,"1,499",4.5 out of 5 stars,"3,774",B08WX2YLNZ,False,Amazon Prime,https://www.amazon.in/s?k=bottle
bottle,,,,AYURVEDACOPPER Peacock Printed Lacquer Coated Pure Copper Water Bottle (1 Liter),550,900,3.8 out of 5 stars,406,B08KGCPLDK,False,Amazon Prime,https://www.amazon.in/s?k=bottle
bottle,,,,"Cello Sportigo Plastic Bottle Set, Set of 4, Assorted",599,608,4.4 out of 5 stars,"1,351",B072DTRY5L,False,Amazon Prime,https://www.amazon.in/s?k=bottle
bottle,,,,"Grofilo Plastic Unbreakable Portable Wide Mouth Travel Water Bottles with Sipper & Clear, Intake ml marking (Transparent Multicolour, 3 L)",599,"1,499",4.1 out of 5 stars,99,B09DD6R6FT,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"STEEPLE 1000ml Stainless Steel Water Bottle, Fridge Water Bottle Set 1Litre Set of 6",959,"1,999","Get it by Friday, May 20",,B09YLDR6ZM,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"Milton Elfin 750 Thermosteel 24 Hours Hot and Cold Water Bottle, 750 ml, Silver, 1 Piece",832,"1,040",4.3 out of 5 stars,243,B08X2S17N7,False,Amazon Prime,https://www.amazon.in/s?k=bottle
bottle,,,,"Amazon Brand - Solimo Plastic Fridge Water Bottle Set (6 pieces, Multicolour, Citrus Pattern)",449,690,4.3 out of 5 stars,"2,670",lredirect/picassoRedirect.ht,True,,https://www.amazon.in/s?k=bottle
bottle,,,,"Amazon Brand - Solimo Plastic Water Bottle Set with Flip Cap (3 pieces, Multicolor, Wavy pattern)",339,445,4.2 out of 5 stars,935,lredirect/picassoRedirect.ht,True,,https://www.amazon.in/s?k=bottle
bottle,,,,ENSURE Pure Copper Bottle and 2 Glass Set|| Unique|| Elite Class|| ||Diwali Set|| Gift Item||1000 MLENSURE Pure Copper Bottle and 2 Glass Set|| Unique|| Elite Class|| ||Diwali Set|| Gift Item||1000 ML,"1,175","1,800",3.8 out of 5 stars,54,lredirect/picassoRedirect.ht,True,,https://www.amazon.in/s?k=bottle
bottle,,,,"Amazon Brand - Solimo Plastic Water Bottle Set with Flip cap (Set of 3, 975ml, Multicolor)",289,475,4.2 out of 5 stars,"1,057",lredirect/picassoRedirect.ht,True,,https://www.amazon.in/s?k=bottle
pen,,,,"Reynolds roller Pen I Lightweight roller Pen With Comfortable Grip for Extra Smooth Writing I School and Office Stationery | TRIMAX 3 CT BLISTER - BLUE, (2156817)",149,180,3.9 out of 5 stars,11,lredirect/picassoRedirect.ht,True,,https://www.amazon.in/s?k=pen
pen,,,,"Reynolds Ball Pen I Lightweight Ball Pen With Comfortable Grip for Extra Smooth Writing I School and Office Stationery | REYNOLDS JETTER CLASSIC, 4 PENS, BLUE",110,,3.8 out of 5 stars,9,lredirect/picassoRedirect.ht,True,,https://www.amazon.in/s?k=pen
pen,,,,REYNOLDS BLUE BALL PEN COMBO 50 PENS JAR (16 PENS 045/16 PENS BRITE/ 6 PENS AEROSLIM/ 6 PENS VISTA RT/ 6 PENS SMOOTHMATE),425,,,,lredirect/picassoRedirect.ht,True,,https://www.amazon.in/s?k=pen
pen,,,,REYNOLDS BLUE BALL PEN COMBO 25 PENS JAR (8 PENS 045/8 PENS BRITE/ 3 PENS AEROSLIM/ 3 PENS VISTA RT/ 3 PENS SMOOTHMATE),225,,5.0 out of 5 stars,1,lredirect/picassoRedirect.ht,True,,https://www.amazon.in/s?k=pen
pen,,,,Cello Bling Pastel Ball Pen | Blue Ball Pen | Jar of 25 Units | Best Ball Pens for Smooth Writing | Ball Point Pen Set | Pens for Students | Office Stationery Items,123,150,4.1 out of 5 stars,"5,115",B08FDSM563,False,,https://www.amazon.in/s?k=pen
pen,,,,SINBUG® Glitter Normal Pen School Supplies for Design Pen Best Gift for Kids (Pack of 3),99,150,"Get it by Sunday, May 22",,B0B12QPWPD,False,,https://www.amazon.in/s?k=pen
pen,,,,Cello Pinpoint Ball Pen - Blue | Pack of 10 | Lightweight Ball Pens | Exam Pens with Grip | Ball Pens for Students | ball pens set for School and Office | Blue Ball Pens | Cello Stationery,95,100,4.3 out of 5 stars,"9,990",B01INWEX9U,False,,https://www.amazon.in/s?k=pen
pen,,,,Classmate Octane Neon- Blue Gel Pens(Pack of 5)|Smooth Writing Pen|Attractive body colour for Boys & Girls|Waterproof ink for smudge free writing|Preferred by Students for Exam|Study at home essential,,,4.3 out of 5 stars,"3,560",B07KCMR8D6,False,,https://www.amazon.in/s?k=pen
pen,,,,Classmate Octane Colour Burst-Multicolour Gel Pens (Pack of 10) | Gold & Silver Glitter Sparkle Pens|10 colour ink shades for art lovers and kids|Fun at home essentials,80,100,4.3 out of 5 stars,"8,355",B07JB2Y4SR,False,,https://www.amazon.in/s?k=pen
pen,,,,Luxor Finewriter Assorted color (Pack of 10 Pen),100,,4.4 out of 5 stars,"9,031",B01HYUSCZI,False,,https://www.amazon.in/s?k=pen
pen,,,,"Faber Castell Pitt Artist Color Pen Set - Pack of 4, S, F, M, B",329,450,4.6 out of 5 stars,"5,660",B000TKEZDO,False,,https://www.amazon.in/s?k=pen
pen,,,,"AmazonBasics Felt Tip Marker Pens - Assorted Color, 12-Pack",359,600,4.3 out of 5 stars,"11,783",B078WJM15Y,False,,https://www.amazon.in/s?k=pen
