category,Deal_of_day,best_seller,title,description,price,original-price,review,No_of_review,id,sponsered,prime_tag,start_url
bottle,,,,ZAMKHUDI - VOUGE 1000ML Fridge Water bottle Set Of 3,299,600,"Get it by Friday, May 20",,WVW78,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Dezofy Crystal Clear Water Bottle Set of 6 1 litre, Plastic Fridge Water Bottle Set, Ideal for Office, Sports, School, Travelling, Gym, Yoga, Checkered Pattern, Set of 6",455.05,"1,199",4.4 out of 5 stars,"1,144",93Z5H,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"PAYABLE 1000ml Square Shape Plastic Water Bottle With Square Cap | Pack Of 3 Square Shape Water Bottle For Gym, School, Office | Multicolor Water Bottle For Home",299,499,4.5 out of 5 stars,2,YTLWV,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"KC Pure Copper Designer Water Bottle with Advanced Leak Proof Protection and Joint Less, Ayurveda and Yoga Health Benefits with Lacquer Coating (1000 Milliliters, 1 Unit)",549,999,3.9 out of 5 stars,332,8BRFG,TRUE,Amazon Prime,https://www.amazon.in/s?k=bottle
bottle,,,,JM SELLER Plastic Water Bottle for Fridge Checkered Leak-Proof Water Bottles - 1 Litre randomy Any Colors Will Come (Set of 2),369,499,5.0 out of 5 stars,2,2VW3H,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,AYURVEDACOPPER Peacock Printed Lacquer Coated Pure Copper Water Bottle (1 Liter),550,900,3.8 out of 5 stars,406,KGCPL,TRUE,Amazon Prime,https://www.amazon.in/s?k=bottle
bottle,,,,"Gift & Gallary | Customized Water Bottle with Temperature Display Keep Hot Or Cold (Matte Black,18 oz)",679,"2,199",4.6 out of 5 stars,35,K7Q5C,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Milton Super 1000 Single Wall Stainless Steel Bottle, 1000 ml, Silver,Set of 1",,,3.9 out of 5 stars,"6,961",NJJ7L,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"SOLARA Unbreakable Water Bottle with Motivational Time Marker, Sipper Bottle with straw, Water bottle for Gym Office| Mobile app with Drinking water reminder",849,"1,499",4.5 out of 5 stars,"3,774",WX2YL,TRUE,Amazon Prime,https://www.amazon.in/s?k=bottle
bottle,,,,"Cello Flip Style Stainless Steel Bottle with Thermal Jacket (1000ml, Silver)",749,"1,095",4.1 out of 5 stars,"1,207",LZFBH,TRUE,Amazon Prime,https://www.amazon.in/s?k=bottle
bottle,,,,"Orbexa Stainless Steel Insulated Hot & Cold Thermos Bottle with Temperature Display (500 ml, Multicolor)",499,999,3.4 out of 5 stars,"1,375",22XFN,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Amazon Brand - Solimo Plastic Water Bottle, 800ml, 6 Pieces, White",599,"1,100",4.4 out of 5 stars,"1,005",PB95Q,TRUE,Amazon Prime,https://www.amazon.in/s?k=bottle
bottle,,,,"Pexpo Stainless Steel Wide Mouth Sports/Fridge/Refrigerator Single Wall Leakproof Water Bottle with 3X DURABLE Color Coating, Multi Solution for Sports, Outdoor, Hiking, Gym, MADE IN INDIA (Pack of 1, Blue Color Sipper Cap, Capacity 1000 ml, Chromo Bottle)",359,399,3.8 out of 5 stars,95,3SJ3Y,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,AYURVEDACOPPER 100% Pure Copper Water Bottle 1000 ML Set of 1,550,800,3.7 out of 5 stars,672,CDQB2,TRUE,Amazon Prime,https://www.amazon.in/s?k=bottle
bottle,,,,"Amazon Brand - Solimo Stainless Steel Insulated 24 Hours Hot or Cold Bottle Flask with Flip Lid and Cover, 1000ml, Silver",729,"1,350",4.1 out of 5 stars,"3,653",FXN3N,TRUE,Amazon Prime,https://www.amazon.in/s?k=bottle
bottle,,,,"Milton Flip Lid 1000 Thermosteel 24 Hours Hot and Cold Water Bottle with Bag, 1 Litre, Silver",964,"1,205",4.3 out of 5 stars,"6,577",R1SHL,TRUE,Amazon Prime,https://www.amazon.in/s?k=bottle
bottle,,,,"Crevizon 3 Liter Gym Water Bottle One Click Flip Lid with Straw & Time Marker Reusable,Ideal for Adults,Gym,Outdoor Sport (Color Purple)",599,"1,999",4.8 out of 5 stars,5,MQRLN,TRUE,,https://www.amazon.in/s?k=bottle
pen,,,,Cello Bling Pastel Ball Pen | Blue Ball Pen | Jar of 25 Units | Best Ball Pens for Smooth Writing | Ball Point Pen Set | Pens for Students | Office Stationery Items,123,150,4.1 out of 5 stars,"5,115",FDSM5,TRUE,,https://www.amazon.in/s?k=pen
pen,,,,Cello Pinpoint Ball Pen - Blue | Pack of 10 | Lightweight Ball Pens | Exam Pens with Grip | Ball Pens for Students | ball pens set for School and Office | Blue Ball Pens | Cello Stationery,95,100,4.3 out of 5 stars,"9,990",INWEX,TRUE,,https://www.amazon.in/s?k=pen
pen,,,,Cello Butterflow Ball Pen Set - Blue | Pack of 10 | Ball Pens for Smooth Writing | Blue Pens for Good Handwriting | Ball Pens for Students | Ideal for school and office use | Cello Stationery,87,100,4.3 out of 5 stars,"9,691",D4MYZ,TRUE,,https://www.amazon.in/s?k=pen
pen,,,,"AmazonBasics Felt Tip Marker Pens - Assorted Color, 12-Pack",359,600,4.3 out of 5 stars,"11,783",8WJM1,TRUE,,https://www.amazon.in/s?k=pen
pen,,,,Amazon Brand - Solimo?Gel Pens and Refills (Set of 25 Pens and 10 Refills),329,400,4.0 out of 5 stars,177,P6WKG,TRUE,,https://www.amazon.in/s?k=pen
pen,,,,"AmazonBasics Refillable Fountain Pen - Fine Point, Black Ink",499,"1,000",4.2 out of 5 stars,"2,998",SM9CS,TRUE,,https://www.amazon.in/s?k=pen
pen,,,,"AmazonBasics Refillable Fountain Pen - Medium Point, Black Ink",399,"1,000",4.3 out of 5 stars,"2,855",SNFK6,TRUE,,https://www.amazon.in/s?k=pen
pen,,,,Classmate Octane Neon- Blue Gel Pens(Pack of 5)|Smooth Writing Pen|Attractive body colour for Boys & Girls|Waterproof ink for smudge free writing|Preferred by Students for Exam|Study at home essential,,,4.3 out of 5 stars,"3,560",KCMR8,TRUE,,https://www.amazon.in/s?k=pen
pen,,,,Classmate Octane Colour Burst-Multicolour Gel Pens (Pack of 10) | Gold & Silver Glitter Sparkle Pens|10 colour ink shades for art lovers and kids|Fun at home essentials,80,100,4.3 out of 5 stars,"8,355",JB2Y4,TRUE,,https://www.amazon.in/s?k=pen
